,request,location,current
type,City,,
query,"Wote, Kenya",,
language,en,,
unit,m,,
name,,Wote,
country,,Kenya,
region,,Eastern,
lat,,-1.783,
lon,,37.633,
timezone_id,,Africa/Nairobi,
localtime,,2025-12-19 22:41,
localtime_epoch,,1766184060,
utc_offset,,3.0,
observation_time,,,07:41 PM
temperature,,,18
weather_code,,,248
weather_icons,,,['https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png']
weather_descriptions,,,['Fog']
astro,,,"{'sunrise': '06:21 AM', 'sunset': '06:34 PM', 'moonrise': '05:37 AM', 'moonset': '06:08 PM', 'moon_phase': 'New Moon', 'moon_illumination': 1}"
air_quality,,,"{'co': '181.85', 'no2': '2.45', 'o3': '50', 'so2': '1.15', 'pm2_5': '7.35', 'pm10': '7.75', 'us-epa-index': '1', 'gb-defra-index': '1'}"
wind_speed,,,6
wind_degree,,,80
wind_dir,,,E
pressure,,,1016
precip,,,0
humidity,,,99
cloudcover,,,100
feelslike,,,18
uv_index,,,0
visibility,,,0
is_day,,,no
